team_name,team_id,place_rank,category,score,percent_judges_certified,name,competition_id,location,state,start_date
B & D COOKERS,1927,11,pork,167.4286,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
B & D COOKERS,1927,27,brisket,152,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Custom Cookers,1928,17,overall,650.8568,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Custom Cookers,1928,24,chicken,158.857,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Custom Cookers,1928,1,pork ribs,177.7142,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Custom Cookers,1928,23,pork,159.9998,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Custom Cookers,1928,23,brisket,154.2858,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
ASLEEP AT THE GRILL,1929,18,overall,650.8566,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
ASLEEP AT THE GRILL,1929,20,chicken,161.1428,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
ASLEEP AT THE GRILL,1929,28,pork ribs,156.571,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
ASLEEP AT THE GRILL,1929,17,pork,162.2858,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
ASLEEP AT THE GRILL,1929,7,brisket,170.857,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
SMOKE OF THE SOUTH,1930,22,overall,642.8566,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
SMOKE OF THE SOUTH,1930,21,chicken,160.5712,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
SMOKE OF THE SOUTH,1930,23,pork ribs,159.9996,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
SMOKE OF THE SOUTH,1930,20,pork,161.7144,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
SMOKE OF THE SOUTH,1930,18,brisket,160.5714,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
PORK PARAMEDICS,1931,23,overall,641.7144,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
PORK PARAMEDICS,1931,27,chicken,157.1428,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
PORK PARAMEDICS,1931,18,pork ribs,161.7146,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
PORK PARAMEDICS,1931,24,pork,156.5714,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
PORK PARAMEDICS,1931,14,brisket,166.2856,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Pig Surprise,1932,24,overall,639.4282,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Pig Surprise,1932,13,chicken,166.2856,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Pig Surprise,1932,21,pork ribs,160.5714,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Pig Surprise,1932,29,pork,152.571,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Pig Surprise,1932,19,brisket,160.0002,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Travis Farms,1933,25,overall,639.428,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Travis Farms,1933,23,chicken,159.4286,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Travis Farms,1933,19,pork ribs,161.7144,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Travis Farms,1933,21,pork,161.7138,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Travis Farms,1933,21,brisket,156.5712,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Poker Porkers,1934,26,overall,635.428,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Poker Porkers,1934,26,chicken,158.2856,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Poker Porkers,1934,13,pork ribs,166.2856,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Poker Porkers,1934,22,pork,160.5712,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Poker Porkers,1934,28,brisket,150.2856,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
BEER DRINKERS,1935,27,overall,634.2854,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
BEER DRINKERS,1935,18,chicken,163.4284,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
BEER DRINKERS,1935,24,pork ribs,158.8572,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
BEER DRINKERS,1935,25,pork,156.5712,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
BEER DRINKERS,1935,22,brisket,155.4286,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
How's My Cooking ?,1936,28,overall,619.4278,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
How's My Cooking ?,1936,25,chicken,158.2858,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
How's My Cooking ?,1936,29,pork ribs,145.1424,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
How's My Cooking ?,1936,19,pork,162.2856,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
How's My Cooking ?,1936,26,brisket,153.714,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Flamming Dixie Smokers,1937,29,overall,488.57099999999997,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Flamming Dixie Smokers,1937,29,chicken,20,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Flamming Dixie Smokers,1937,12,pork ribs,166.857,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Flamming Dixie Smokers,1937,28,pork,153.714,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Flamming Dixie Smokers,1937,29,brisket,148,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
BURNT FINGER BBQ,181,24,overall,645.0512,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
BURNT FINGER BBQ,181,6,chicken,169.7028,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
BURNT FINGER BBQ,181,25,pork ribs,155.4172,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
BURNT FINGER BBQ,181,24,pork,155.9656,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
BURNT FINGER BBQ,181,13,brisket,163.9656,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
FARMBOY BBQ,232,7,overall,668.0348,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
FARMBOY BBQ,232,3,chicken,171.4288,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
FARMBOY BBQ,232,8,pork ribs,169.7372,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
FARMBOY BBQ,232,18,pork,163.44,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
FARMBOY BBQ,232,14,brisket,163.4288,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
PORK PATROL BBQ,409,1,overall,686.2284,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
PORK PATROL BBQ,409,1,chicken,177.7028,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
PORK PATROL BBQ,409,14,pork ribs,166.88,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
PORK PATROL BBQ,409,3,pork,173.1084,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
PORK PATROL BBQ,409,5,brisket,168.5372,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
LUCKY'S Q,586,6,overall,669.0972,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
LUCKY'S Q,586,5,chicken,170.2972,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
LUCKY'S Q,586,6,pork ribs,170.2972,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
LUCKY'S Q,586,23,pork,157.0856,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
LUCKY'S Q,586,4,brisket,171.4172,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
THERE'S NO PLACE LIKE SMOKE,587,8,overall,666.1828,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
THERE'S NO PLACE LIKE SMOKE,587,10,chicken,167.3828,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
THERE'S NO PLACE LIKE SMOKE,587,24,pork ribs,156.5372,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
THERE'S NO PLACE LIKE SMOKE,587,13,pork,166.8228,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
THERE'S NO PLACE LIKE SMOKE,587,2,brisket,175.44,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKIN BUTT BBQ,593,12,overall,659.3828,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKIN BUTT BBQ,593,4,chicken,170.8228,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKIN BUTT BBQ,593,19,pork ribs,159.44,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKIN BUTT BBQ,593,9,pork,169.12,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKIN BUTT BBQ,593,18,brisket,160,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
POLITICAL PORK,871,20,overall,652.4916,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
POLITICAL PORK,871,28,chicken,148.5028,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
POLITICAL PORK,871,4,pork ribs,172.56,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
POLITICAL PORK,871,10,pork,168.5716,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
POLITICAL PORK,871,15,brisket,162.8572,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
S&S BBQ,964,13,overall,658.32,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
S&S BBQ,964,25,chicken,157.1084,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
S&S BBQ,964,10,pork ribs,169.1544,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
S&S BBQ,964,14,pork,164.5944,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
S&S BBQ,964,8,brisket,167.4628,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
LION 'BOUT THE Q,1242,15,overall,656.5488,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
LION 'BOUT THE Q,1242,24,chicken,158.2628,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
LION 'BOUT THE Q,1242,1,pork ribs,174.8916,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
LION 'BOUT THE Q,1242,1,pork,174.2744,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
LION 'BOUT THE Q,1242,27,brisket,149.12,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKIN O BBQ,1520,11,overall,660.6172,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKIN O BBQ,1520,7,chicken,169.1428,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKIN O BBQ,1520,12,pork ribs,168.0344,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKIN O BBQ,1520,12,pork,166.8572,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKIN O BBQ,1520,24,brisket,156.5828,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKEY D'S WANNABEES,1595,19,overall,655.3256,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKEY D'S WANNABEES,1595,14,chicken,166.2628,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKEY D'S WANNABEES,1595,3,pork ribs,173.166,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKEY D'S WANNABEES,1595,26,pork,151.9084,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKEY D'S WANNABEES,1595,12,brisket,163.9884,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKETACULAR,1611,4,overall,672.686,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKETACULAR,1611,2,chicken,176.6172,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKETACULAR,1611,22,pork ribs,157.7716,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKETACULAR,1611,4,pork,172.0344,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
SMOKETACULAR,1611,9,brisket,166.2628,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
Uncle Bub's BBQ LLC,1860,10,overall,662.88,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
Uncle Bub's BBQ LLC,1860,16,chicken,164.5944,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
Uncle Bub's BBQ LLC,1860,21,pork ribs,158.8228,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
Uncle Bub's BBQ LLC,1860,2,pork,173.7256,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
Uncle Bub's BBQ LLC,1860,10,brisket,165.7372,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
GRILLS GONE WILD IOWA,2384,2,overall,679.4856,80,31st Annual American Royal Barbecue OPEN,2142,"Kansas City, MO",MO,2010-10-02
