id,kcbs_competition_id,location,start_date
84,757,"Lamar, CO",2007-08-03
85,758,"Pacific, MO",2007-08-17
86,760,"Madison, IN",2007-08-17
87,763,"Menomonee Falls, WI",2007-09-28
88,764,"Texarkana, AR",2007-10-12
89,767,"Sikeston, MO",2007-04-13
90,768,"Columbia, MO",2007-05-11
91,772,"Watertown, MN",2007-07-20
92,773,"Huntsville, AL",2007-05-03
93,774,"Sallisaw, OK",2007-05-04
94,775,"Malden, MO",2007-05-11
95,776,"Sylvan Grove, KS",2007-06-15
96,777,"Marshalltown, IA",2007-06-22
97,778,"Great Bend, KS",2007-07-12
98,779,"Grand Rapids, MI",2007-07-13
99,780,"Glasgow, MO",2007-07-20
100,781,"Windsor, VT",2007-07-28
101,782,"Waucoma, IA",2007-08-03
102,783,"Dillon, CO",2007-08-10
103,784,"Birmingham, AL",2007-08-24
104,785,"Sparta, WI",2007-09-07
105,786,"Racine, WI",2007-09-21
106,787,"Covington, GA",2007-10-12
107,788,"Columbia, MO",2007-10-12
108,789,"Iron Mountain, MI",2007-07-20
109,790,"Canton, GA",2007-10-19
110,796,"Fairbanks, IN",2007-06-01
111,797,"Kansas City, MO",2007-04-20
112,798,"Stillwater, OK",2007-03-30
113,799,"Augusta, KS",2007-06-01
114,800,"North Wildwood, NJ",2007-07-13
115,801,"Harvard, MA",2007-09-15
116,802,"Jefferson City, MO",2007-04-13
117,803,"Lebanon, TN",2007-08-17
118,804,"Stevensville, MD",2007-07-27
119,805,"Memphis, TN",2007-06-08
120,806,"Gastonia, NC",2007-09-07
121,807,"Clarence, NY",2007-09-28
122,808,"New Holland, PA",2007-08-24
123,809,"Nashville, TN",2007-09-28
124,810,"Benton, KY",2007-03-30
125,814,"Lawrence, KS",2007-05-11
126,815,"Sedalia, MO",2007-06-15
127,816,"Tulsa, OK",2007-07-13
128,817,"Leavenworth, KS",2007-09-07
129,818,"Independence, IA",2007-09-21
130,819,"Hermann, MO",2007-09-28
131,820,"Kansas City, MO",2007-10-05
132,821,"Demopolis, AL",2007-11-30
133,823,"La Platte, NE",2007-08-24
134,825,"Salem, IL",2007-09-07
135,826,"Cookeville, TN",2007-09-07
136,828,"St. Joseph, MO",2007-05-04
137,829,"Pueblo, CO",2007-06-08
138,830,"Peculiar, MO",2007-07-20
139,831,"Dodge City, KS",2007-07-27
140,832,"Bel Air, MD",2007-08-10
141,833,"Cape Girardeau, MO",2007-08-24
142,834,"Ashland, MS",2007-09-07
143,835,"Blue Springs, MO",2007-09-07
144,836,"Carbondale, IL",2007-09-14
145,838,"Owensboro, KY",2007-09-28
146,843,"Yardley, PA",2007-05-18
147,844,"Tonganoxie, KS",2007-06-08
148,845,"Dillard, GA",2007-08-03
149,846,"Union, SC",2007-09-14
150,850,"DeSoto, KS",2007-10-12
151,859,"Aloha, OR",2007-06-09
152,861,"Lincoln City, OR",2007-07-13
153,862,"Albany, OR",2007-08-17
154,863,"Ponca City, OK",2007-09-21
155,868,"Fort Smith, AR",2007-05-11
156,869,"Cocoa, FL",2007-05-03
157,870,"Council Bluffs, IA",2007-05-11
158,872,"Chillicothe, MO",2007-08-24
159,873,"Grand Junction, CO",2007-09-21
160,875,"Salem, OR",2007-08-24
161,877,"Trenton, MO",2007-06-15
162,878,"Huron, SD",2007-06-01
163,879,"Westmont, IL",2007-05-26
164,880,"Lynnwood, WA",2007-04-28
165,882,"Baldwyn, MS",2007-06-01
166,883,"Butler, MO",2007-09-07
167,884,"Fairbury, NE",2007-09-07
168,885,"Shawnee, KS",2007-09-21
169,886,"Austin, MN",2007-05-18
170,888,"Aberdeen, MS",2007-10-12
171,890,"Paola, KS",2007-08-24
172,892,"Gallatin, TN",2007-10-05
173,893,"Arthur, IL",2007-10-12
174,894,"Shelby, NC",2007-11-02
175,895,"Corinth, MS",2007-10-04
176,896,"Fort Scott, KS",2007-06-01
177,903,"Dover, DE",2007-10-19
178,904,"Maggie Valley, NC",2007-09-28
179,905,"Decatur, AL",2007-09-21
180,907,"Clovis, CA",2007-09-28
181,908,"Ankeny, IA",2007-07-13
182,909,"Mt. Pleasant, IA",2007-06-15
183,914,"Sandwich, MA",2007-06-15
184,919,"Laurens, SC",2007-10-05
185,920,"Lowell, MA",2007-09-08
186,921,"Oklahoma City, OK",2007-06-01
187,922,"Plant City, FL",2007-11-16
188,923,"Jenks, OK",2007-10-12
189,924,"McPherson, KS",2007-08-24
190,934,"Lakeville, CT",2007-05-26
191,935,"East Hartford, CT",2007-06-23
192,936,"York, ME",2007-08-04
193,938,"Bridgeton, NJ",2007-09-14
194,939,"Springville, AL",2007-07-13
195,940,"Mission, KS",2007-09-14
196,941,"Kennesaw, GA",2007-08-10
197,942,"Taylor, AZ",2007-08-31
198,943,"Clinton, IA",2007-07-06
199,944,"Felda, FL",2007-12-31
200,945,"Belton, MO",2007-05-04
201,946,"Morganton, NC",2007-10-05
202,947,"Kearney, MO",2007-09-14
203,948,"Victorville, CA",2007-06-08
204,949,"Angel Fire, NM",2007-05-25
205,950,"Columbia, MO",2007-09-07
206,957,"Booneville, AR",2007-06-15
207,958,"Worland, WY",2007-08-17
208,960,"Libertyville, IL",2007-10-19
209,963,"Fairfield, CA",2007-08-17
210,964,"Sedalia, MO",2007-08-17
211,965,"San Jose, CA",2007-06-30
212,966,"Ada, OK",2007-06-15
213,967,"Franklin, PA",2007-07-27
214,968,"Hamilton, NJ",2007-09-08
215,973,"Clarksville, TN",2007-07-13
216,975,"Salt Lake City, UT",2007-08-24
217,976,"Mount Pleasant, SC",2007-08-24
218,977,"Lynchburg, TN",2007-10-26
219,978,"Mashpee, MA",2007-10-27
220,979,"Omaha, NE",2007-09-28
221,983,"Warren, NH",2007-08-24
222,984,"Harrisonville, MO",2007-08-24
223,985,"Stevensville, MT",2007-08-03
224,987,"Garden City, MO",2007-09-28
225,991,"Sharonville, OH",2007-09-15
226,992,"Garnett, KS",2007-10-19
227,994,"Wichita, KS",2007-06-08
228,995,"Dubuque, IA",2007-09-01
229,1001,"Sayville, NY",2007-10-20
230,1002,"Holly Springs, MS",2007-10-26
231,1008,"Alpine, CA",2007-10-19
232,1009,"Independence, MO",2007-10-19
233,1021,"Marshall, MN",2007-10-05
234,1022,"Belton, MO",2008-05-02
235,1023,"Lansing, KS",2008-05-02
236,1024,"Huron, SD",2008-06-06
237,1025,"Springfield, MO",2008-04-18
238,1026,"Kansas City, MO",2008-04-25
239,1027,"Rio Rancho, NM",2008-03-28
240,1028,"Frisco, CO",2008-06-13
241,1029,"Platte City, MO",2008-05-09
242,1030,"Des Moines, IA",2008-06-05
243,1031,"Marshalltown, IA",2008-06-27
244,1034,"Raytown, MO",2008-06-13
245,1035,"Tryon, NC",2008-06-13
246,1036,"Elk Grove, IL",2008-06-13
247,1037,"State Center, IA",2008-06-20
248,1038,"Sikeston, MO",2008-04-11
249,1039,"St. Joseph, MO",2008-05-02
250,1040,"Livingston, AL",2008-04-18
251,1041,"Fairbanks, IN",2008-06-06
252,1042,"Sevierville, TN",2008-05-16
253,1043,"Benton, KY",2008-04-04
254,1044,"Malden, MO",2008-05-09
255,1046,"Landover, MD",2008-06-06
256,1047,"Fort Lauderdale, FL",2007-12-01
257,1050,"Young Harris, GA",2008-05-24
258,1051,"Greenwood, SC",2008-07-11
259,1052,"Bellevue, NE",2008-07-18
260,1053,"Burlington, KS",2008-07-18
261,1054,"Watertown, MN",2008-07-18
262,1055,"Laurie, MO",2008-08-01
263,1056,"Harrisonville, MO",2008-08-22
264,1057,"Columbus, MS",2008-04-11
265,1058,"Jefferson City, MO",2008-04-11
266,1059,"Osage City, KS",2008-04-11
267,1060,"Lyons, KS",2008-05-02
268,1061,"Ashland, MS",2008-05-09
269,1062,"Shannon, IL",2008-07-11
270,1063,"Lawrence, KS",2008-05-09
271,1064,"DeForest, WI",2008-06-06
272,1065,"Clarksville, TN",2008-04-04
273,1066,"Loveland, CO",2008-07-11
274,1067,"Charleston, SC",2008-03-07
275,1068,"Hedgesville, WV",2008-09-05
276,1069,"Emporia, KS",2008-08-15
277,1070,"Florence, KS",2008-08-31
278,1071,"New Holland, PA",2008-08-22
279,1072,"Mountain Grove, MO",2008-06-20
280,1073,"Pleasant Hill, MO",2008-04-04
281,1076,"Chandler, AZ",2007-11-09
282,1094,"Waterloo, IA",2008-07-18
283,1095,"Marysville, KS",2008-06-06
284,1096,"North Kansas City, MO",2008-03-14
285,1097,"McLouth, KS",2008-06-06
286,1098,"Shawnee, KS",2008-09-26
287,1101,"Waynesboro, GA",2008-05-09
288,1102,"Dickson, TN",2008-06-27
289,1104,"Sallisaw, OK",2008-06-06
290,1105,"Claremore, OK",2008-05-16
291,1106,"Enid, OK",2008-04-11
292,1107,"Danville, VA",2008-05-16
293,1108,"Mason City, IA",2008-07-25
294,1109,"Ada, OK",2008-06-13
295,1110,"Glasgow, MO",2008-07-18
296,1111,"Excelsior Springs, MO",2008-08-15
297,1112,"Sugar Creek, MO",2008-04-25
298,1121,"Lake Placid, NY",2008-07-04
299,1122,"Hammond, LA",2008-03-28
300,1123,"Wichita, KS",2008-06-13
301,1124,"Columbia, MO",2008-05-09
302,1125,"Pulaski, TN",2008-05-08
303,1126,"Lawrenceburg, TN",2008-06-27
304,1127,"Salisbury, MD",2008-04-18
305,1128,"Clarksville, TN",2008-07-11
306,1129,"Durango, CO",2008-07-03
307,1130,"Anthony, KS",2008-07-18
308,1131,"Kansas City, KS",2008-05-23
309,1132,"New Paltz, NY",2008-08-15
310,1133,"Huntsville, AL",2008-05-02
311,1134,"Nelsonville, OH",2008-10-17
312,1136,"Chesapeake, VA",2008-05-16
313,1142,"Great Bend, KS",2008-07-10
314,1143,"Sparta, WI",2008-09-12
315,1144,"Cameron, MO",2008-06-27
316,1145,"Warsaw, MO",2008-05-16
317,1146,"Mobile, AL",2008-03-07
318,1148,"Independence, KS",2008-05-02
319,1149,"Madison, MS",2008-08-01
320,1150,"Richmond, MO",2008-05-02
321,1151,"Windsor, MO",2008-08-29
322,1153,"Pleasant Valley, MO",2008-09-19
323,1154,"Lewisburg, TN",2008-10-10
324,1155,"El Dorado, KS",2008-07-25
325,1156,"Laramie, WY",2008-07-18
326,1157,"Columbia, MO",2008-10-10
327,1159,"Lincoln, NE",2008-06-19
328,1160,"Steeleville, IL",2008-05-16
329,1161,"Great Bend, KS",2008-02-15
330,1162,"Owatonna, MN",2008-05-30
331,1163,"Freehold, NJ",2008-07-25
332,1164,"Mount Vernon, IL",2008-06-13
333,1165,"Winfield, KS",2008-08-29
334,1166,"Silver Lake, MI",2008-09-12
335,1169,"Smyrna, TN",2008-06-14
336,1170,"Boulder City, NV",2008-05-23
337,1171,"Cartersville, GA",2008-06-06
338,1172,"Lakeland, FL",2008-01-25
339,1178,"Memphis, TN",2008-06-06
340,1179,"Manhattan, KS",2008-04-18
341,1180,"Atchison, KS",2008-09-12
342,1181,"Winchester, TN",2008-04-18
343,1182,"Grand Junction, CO",2008-09-18
344,1183,"Menomonee Falls, WI",2008-09-19
345,1185,"Demopolis, AL",2008-12-05
346,1186,"Merrimack, NH",2008-06-20
347,1187,"Austin, MN",2008-05-16
348,1188,"Hermann, MO",2008-09-26
349,1189,"Pueblo, CO",2008-06-06
350,1190,"Windsor, VT",2008-07-25
351,1191,"Stevensville, MD",2008-07-25
352,1192,"Dillon, CO",2009-08-07
353,1193,"Omaha, NE",2008-09-26
354,1200,"Stillwater, OK",2008-04-04
355,1201,"Fort Rucker, AL",2008-02-22
356,1202,"Pine Bluff, AR",2008-05-09
357,1204,"Yardley, PA",2008-06-06
358,1205,"Kingsford, MI",2008-07-11
359,1206,"Grand Rapids, MI",2008-07-25
360,1207,"McPherson, KS",2008-08-22
361,1208,"Decatur, AL",2008-09-11
362,1210,"Hot Springs, AR",2008-09-19
363,1211,"Owensboro, KY",2008-09-26
364,1212,"Fort Lauderdale, FL",2008-11-14
365,1213,"Modesto, CA",2008-05-09
366,1214,"Kings Mountain, NC",2008-04-18
367,1215,"Madison, IN",2008-08-15
368,1216,"Birmingham, AL",2008-08-22
369,1217,"Covington, GA",2008-10-10
370,1218,"Nashville, IN",2008-09-05
371,1219,"North Platte, NE",2008-05-09
372,1220,"Athens, AL",2008-04-25
373,1221,"Booneville, MO",2008-06-27
374,1222,"LaPlatte, NE",2008-08-22
375,1223,"Mount Morris, MI",2008-08-15
376,1224,"Kettering, OH",2008-07-18
377,1225,"Council Bluffs, IA",2008-05-09
378,1226,"Lincolnton, NC",2008-06-06
379,1227,"Haleyville, AL",2008-06-13
380,1229,"Tonganoxie, KS",2008-06-13
381,1230,"Sedalia, MO",2008-06-13
382,1231,"Dodge City, KS",2008-07-25
383,1232,"Axtell, KS",2008-08-08
384,1233,"Lebanon, TN",2008-08-15
385,1234,"Butler, MO",2008-09-12
386,1235,"Cape Girardeau, MO",2008-08-22
387,1236,"Gastonia, NC",2008-09-05
388,1237,"Carbondale, IL",2008-09-19
389,1238,"Harvard, MA",2008-09-13
390,1239,"Kearney, MO",2008-09-19
391,1240,"Independence, IA",2008-09-19
392,1241,"Mission, KS",2008-09-19
393,1242,"Corinth, MS",2008-10-03
394,1243,"Laurens, SC",2008-10-03
395,1244,"Arthur, IL",2008-10-10
396,1245,"DeSoto, KS",2008-10-10
397,1246,"Dickinson, ND",2008-09-12
398,1247,"Bixby, OK",2008-05-09
399,1248,"Kennesaw, GA",2008-08-08
400,1250,"Leavenworth, KS",2008-09-05
401,1251,"Canton, GA",2008-10-17
402,1252,"Plant City, FL",2008-11-21
403,1253,"Hazelwood, MO",2008-03-28
404,1254,"Westmont, IL",2008-05-24
405,1255,"Park City, KS",2008-09-19
406,1263,"Cincinnati, OH",2008-09-12
407,1264,"Dillard, GA",2008-08-01
408,1265,"Racine, WI",2008-09-26
409,1266,"North Wildwood, NJ",2008-07-11
410,1267,"Ponca City, OK",2008-09-19
411,1268,"Maggie Valley, NC",2008-09-26
412,1269,"Union, SC",2008-09-12
413,1270,"Cookeville, TN",2008-09-05
414,1278,"Garden City, MO",2008-10-24
415,1279,"Gallatin, TN",2008-10-03
416,1280,"Princeton, WI",2008-08-22
417,1281,"Bel Air, MD",2008-08-08
418,1282,"Columbia, MO",2008-07-25
419,1283,"Kansas City, MO",2008-10-02
420,1284,"Waucoma, IA",2008-08-01
421,1285,"Franklin, PA",2008-07-11
422,1287,"Wamac, IL",2008-05-02
423,1288,"Taylorville, IL",2008-05-30
424,1289,"Nashville, TN",2008-06-07
425,1290,"Peculiar, MO",2008-06-20
426,1291,"Franklin, KY",2008-06-20
427,1292,"Kansas City, MO",2008-06-20
428,1293,"Snowbird, UT",2008-06-20
429,1294,"Washington, DC",2008-06-21
430,1295,"Troy, NY",2008-07-19
431,1296,"Golden City, MO",2008-10-10
432,1300,"Ankeny, IA",2008-07-11
433,1301,"Blue Springs, MO",2008-09-05
434,1302,"Tulsa, OK",2008-07-11
435,1305,"Indio, CA",2008-05-02
436,1306,"Indio, CA",2008-05-03
437,1307,"Nevada, IA",2008-08-22
438,1308,"Harrison, AR",2008-06-27
439,1309,"Taylor, AZ",2008-08-28
440,1311,"Dubuque, IA",2008-08-30
441,1312,"Mt. Pleasant, SC",2008-08-30
442,1313,"Westport, CT",2008-09-20
443,1314,"Aberdeen, MS",2008-10-10
444,1315,"Metropolis, IL",2008-10-10
445,1316,"Garnett, KS",2008-10-17
446,1317,"Holly Springs, MS",2008-10-24
447,1324,"Lenoir City, TN",2008-10-09
448,1325,"Pacific, MO",2008-08-15
449,1326,"Dover, DE",2008-10-17
450,1327,"Clarence, NY",2008-09-26
451,1328,"Murray, KY",2008-07-04
452,1332,"Paola, KS",2008-08-22
453,1333,"Ashland, MS",2008-09-05
454,1334,"Columbia, MO",2008-10-03
455,1335,"Lynchburg, TN",2008-10-24
456,1338,"Worland, WY",2008-08-15
457,1339,"Dighton, KS",2008-07-25
458,1341,"Lamar, CO",2008-05-09
459,1342,"Abilene, KS",2008-05-30
460,1343,"Canon City, CO",2008-06-27
461,1344,"Goshen, IN",2008-07-11
462,1345,"Reading, PA",2008-07-18
463,1346,"Albany, OR",2008-08-01
464,1349,"Albert Lea, MN",2008-08-22
465,1350,"Milwaukee, WI",2008-08-29
466,1351,"Marshall, MN",2008-09-26
467,1352,"Lumberton, NC",2008-11-07
468,1355,"Shelby, NC",2008-10-31
469,1357,"Mays Landing, NJ",2008-05-30
470,1358,"Warrensburg, MO",2008-07-11
471,1359,"Libertyville, IL",2008-10-17
472,1363,"Jenks, OK",2008-10-24
473,1364,"Independence, MO",2008-10-17
474,1365,"Bridgeton, NJ",2008-09-19
475,1366,"LaPorte, IA",2008-07-19
476,1367,"Columbus, GA",2008-06-27
477,1372,"Fairfield, CA",2008-08-15
478,1373,"Booneville, AR",2008-06-27
479,1374,"Fairbury, NE",2008-09-05
480,1375,"Fayetteville, AR",2008-09-26
481,1377,"Salt Lake City, UT",2008-08-22
482,1387,"Quincy, IL",2008-09-05
483,1388,"Murphysboro, IL",2008-09-19
484,1389,"Kansas City, MO",2008-06-20
485,1390,"Shawnee, KS",2008-09-12
486,1391,"Sayville, NY",2008-10-24
487,1397,"Eagle, ID",2008-08-29
488,1398,"Rocky Mount, NC",2008-10-10
489,1400,"Mt. Carmel, IL",2008-09-05
490,1407,"Alpine, CA",2008-10-17
491,1408,"Mandeville, LA",2008-11-14
492,1411,"Pass Christian, MS",2009-02-20
493,1412,"Clovis, CA",2008-09-19
494,1418,"Buckeye, AZ",2008-11-07
495,1424,"Laramie, WY",2009-07-17
496,1426,"Little Rock, AR",2009-03-13
497,1427,"Kings Mountain, NC",2009-04-17
498,1428,"Johnson City, TN",2009-05-22
499,1430,"Lake Placid, NY",2009-07-03
500,1431,"Gaffney, SC",2009-07-17
501,1432,"La Porte City, IA",2009-07-18
502,1433,"Norwalk, CT",2009-09-11
503,1434,"Glen Rock (Located at The Markets at Shrewsbury), PA",2009-09-11
504,1435,"Metropolis, IL",2009-10-09
505,1436,"Felda, FL",2008-12-31
506,1437,"Greater Gulf State Fairgrounds - Mobile, AL",2009-03-13
507,1438,"Rio Rancho, NM",2009-03-27
508,1439,"Sikeston, MO",2009-04-10
509,1440,"Livingston, AL",2009-04-17
510,1441,"Salisbury, MD",2009-04-17
511,1443,"Lansing, KS",2009-05-01
512,1444,"Huntsville, AL",2009-05-01
513,1445,"Waynesboro, GA",2009-05-08
514,1446,"Claremore, OK",2009-05-15
515,1447,"Green Lane, PA",2009-05-15
516,1448,"Sevierville, TN",2009-05-15
517,1449,"Young Harris, GA",2009-05-22
518,1450,"Kansas City, KS",2009-05-22
519,1451,"Pueblo, CO",2009-06-05
520,1452,"Canon City, CO",2009-06-12
521,1453,"Wichita, KS",2009-06-12
522,1454,"Upper Marlboro, MD",2009-06-13
523,1455,"Lawrenceburg, TN",2009-06-26
524,1456,"Marshalltown, IA",2009-06-26
525,1458,"Shannon, IL",2009-07-10
526,1459,"Greenwood, SC",2009-07-10
527,1461,"Harrisonville, MO",2009-08-21
528,1462,"Shawnee, KS",2009-09-25
529,1463,"Mears (Silver Lake), MI",2009-09-11
530,1464,"Lakeland, FL",2009-01-29
531,1465,"Worland, WY",2009-08-14
532,1466,"Sallisaw, OK",2009-06-05
533,1468,"Hannibal, MO",2009-06-05
534,1469,"Springfield, KY",2009-10-02
535,1470,"Eldon, MO",2009-06-26
536,1471,"Louisa, VA",2009-07-17
537,1472,"California, MO",2009-08-07
538,1473,"DeForest/Windsor, WI",2009-08-07
539,1475,"Auburn, AL",2009-03-27
540,1477,"Franklin, NC",2009-08-06
541,1478,"Albert Lea, MN",2009-08-28
542,1479,"Watertown, MN",2009-07-17
543,1480,"Burlington, KS",2009-07-17
544,1481,"Columbus, MS",2009-03-20
545,1482,"Ashland, MS",2009-05-08
546,1483,"Demopolis, AL",2009-12-04
547,1484,"Bonner Springs, KS",2009-08-28
548,1487,"Abilene, KS",2009-05-29
549,1490,"Madison, IN",2009-08-21
550,1491,"Danville, VA",2009-05-15
551,1492,"Washington, MO",2009-04-17
552,1494,"LaPlatte, NE",2009-08-21
553,1495,"Laurie, MO",2009-07-31
554,1497,"Clarksville, TN",2009-04-03
555,1505,"Wamac, IL",2009-05-01
556,1506,"Raytown, MO",2009-06-12
557,1507,"Osage City, KS",2009-04-10
558,1510,"Athens, AL",2009-04-24
559,1511,"Lawrence, KS",2009-05-08
560,1513,"Benton, KY",2009-04-03
561,1514,"Ulster County Fairgrounds, New Paltz, NY",2009-08-14
562,1516,"Loveland, CO",2009-07-10
563,1517,"Dodge City, KS",2009-07-24
564,1518,"Waterloo, IA",2009-07-17
565,1519,"Snowbird, UT",2009-06-19
566,1520,"Pulaski, TN",2009-05-07
567,1521,"Sugar Creek, MO",2009-04-24
568,1534,"Taylorville, IL",2009-05-29
569,1535,"Mission, KS",2009-09-18
570,1536,"De Soto, KS",2009-10-09
571,1537,"Huron, SD",2009-06-05
572,1538,"Chesapeake, VA",2009-05-15
573,1539,"Columbia, MO",2009-07-24
574,1540,"Grand Junction, CO",2009-09-18
575,1542,"Kennesaw, GA",2009-08-14
576,1543,"Murphysboro, IL",2009-09-24
577,1544,"Ada, OK",2009-06-19
578,1545,"Kingsford, MI",2009-07-16
579,1546,"Lyons, KS",2009-05-08
580,1547,"New Holland, PA",2009-08-28
581,1549,"Fort Smith, AR",2009-07-17
582,1550,"Decatur, AL",2009-09-17
583,1551,"Great Bend, KS",2009-07-10
584,1552,"Eliot, ME",2009-08-05
585,1554,"Indio, CA",2009-04-24
586,1555,"Indio, CA",2009-04-25
587,1556,"Kansas City, MO",2009-04-24
588,1557,"North Platte, NE",2009-05-08
589,1558,"Westmont, IL",2009-05-23
590,1559,"Gallatin, TN",2009-10-02
591,1560,"McLouth, KS",2009-06-05
592,1561,"El Dorado, KS",2009-07-24
593,1562,"Enid, OK",2009-04-17
594,1563,"Westport, CT",2009-09-26
595,1564,"Hammond, LA",2009-03-27
596,1566,"Winchester, TN",2009-04-17
597,1571,"Haleyville, AL",2009-06-12
598,1572,"Dillard, GA",2009-07-31
599,1573,"Windsor, VT",2009-07-25
600,1574,"Yates Center, KS",2009-07-10
601,1576,"Columbia, MO",2009-05-08
602,1577,"Overland Park, KS",2009-04-24
603,1578,"Aberdeen, SD",2009-07-10
604,1579,"Bedford, TX",2009-09-04
605,1580,"Front Royal, VA",2009-10-02
606,1582,"Memphis, TN",2009-06-05
607,1585,"Cape Girardeau, MO",2009-08-21
608,1586,"Richmond, MO",2009-05-01
609,1587,"Durango, CO",2009-07-03
610,1588,"Stillwater, OK",2009-04-03
611,1589,"Owatonna, MN",2009-05-29
612,1590,"Westfield, WI",2009-08-21
613,1591,"Independence, KS",2009-05-01
614,1592,"Covington, GA",2009-10-09
615,1594,"Merrimack, NH",2009-06-20
616,1595,"Great Bend, KS",2009-02-13
617,1596,"Des Moines, IA",2009-06-05
618,1597,"Jim Roberts Community Park, Franklin, KY",2009-06-19
619,1598,"Lewisburg, TN",2009-10-09
620,1599,"Golden City, MO",2009-10-09
621,1600,"Bixby, OK",2009-05-08
622,1602,"St. Joseph, MO",2009-05-01
623,1603,"Troy, NY",2009-07-18
624,1605,"Platte City, MO",2009-05-08
625,1606,"Ponca City, OK",2009-09-18
626,1607,"Lenoir, TN",2009-10-09
627,1608,"Hermann, MO",2009-09-25
628,1609,"Shawnee, KS",2009-09-11
629,1610,"Marysville, KS",2009-06-05
630,1611,"Butler, MO",2009-08-28
631,1612,"Council Bluffs, IA",2009-05-08
632,1613,"Tulsa, OK",2009-07-10
633,1614,"Fairbanks, IN",2009-06-05
634,1615,"Laurens, SC",2009-10-02
635,1616,"North Kansas City, MO",2009-03-13
636,1618,"Owensboro, KY",2009-09-25
637,1620,"Clarence, NY",2009-09-25
638,1621,"Austin, MN",2009-05-15
639,1624,"Freehold, NJ",2009-07-24
640,1625,"Steeleville, IL",2009-05-15
641,1629,"Libertyville, IL",2009-10-16
642,1630,"Glasgow, MO",2009-07-17
643,1633,"Tonganoxie, KS",2009-06-12
644,1634,"Mountain View, AR",2009-06-19
645,1635,"Rochester, NY",2009-05-23
646,1636,"Harrisburg, PA",2009-10-02
647,1637,"Jasper, IN",2009-07-31
648,1640,"Costa Mesa, CA",2009-05-08
649,1641,"Seaside Heights, NJ",2009-09-25
650,1642,"Park City, KS",2009-09-11
