id,kcbs_competition_id,name,location,state,start_date,is_state_championship,prize_amount,percent_judges_certified
26,648,Colorado Barbecue Challenge,"Frisco, CO",CO,6/15/2007,TRUE,,
27,649,Tennessee Heritage Barbecue Festival,"Smyrna, TN",TN,6/16/2007,TRUE,,
28,651,AT&T TN State Championship BBQ Cook-Off,"Lawrenceburg, TN",TN,6/22/2007,TRUE,,
29,652,Smok'n in the Ozarks,"Mountain Grove, MO",MO,6/22/2007,TRUE,,
30,653,26th Annual Great Lenexa Barbeque Battle,"Lenexa, KS",KS,6/22/2007,TRUE,,
31,654,Squealin' on the Square,"Murray, KY",KY,6/29/2007,TRUE,,
32,655,Lake Placid NY I Love BBQ Festival,"Lake Placid, NY",NY,6/29/2007,TRUE,,
33,656,Kiwanis Club of Durango's Smokin' 4th BBQ Shootout,"Durango, CO",CO,7/3/2007,TRUE,,
34,658,Illinois State Championship & Butt to Butt Pork Invitational,"Shannon, IL",IL,7/13/2007,TRUE,,
35,659,"RiverFest, Red White & Que","Bellevue, NE",NE,7/20/2007,TRUE,,
36,660,Wild Blue Barbeque,"Burlington, KS",KS,7/20/2007,TRUE,,
37,661,Laurie Hillbilly BBQ Cookoff,"Laurie, MO",MO,8/3/2007,TRUE,,
38,662,Axtell SmokeEaters BBQ,"Axtell, KS",KS,8/10/2007,TRUE,,
39,663,Hudson Valley Ribfest,"Highland, NY",NY,8/18/2007,TRUE,,
40,664,Florence Labor Day BBQ Cookoff,"Florence, KS",KS,9/2/2007,TRUE,,
41,666,Smoke on the Water Championship BBQ Cookoff,"Pine Bluff, AR",AR,9/14/2007,TRUE,,
42,667,"Bikes, Blues & BBQ","Fayetteville, AR",AR,10/5/2007,TRUE,,
43,668,Tennessee State BBQ & Fall Festival,"Lenoir, TN",TN,10/12/2007,TRUE,,
44,669,Ohio Smoked Meat and BBQ State Championship,"Nelsonville, OH",OH,10/19/2007,TRUE,,
45,678,Platte City/Basswood Resort BBQ,"Platte City, MO",MO,5/11/2007,TRUE,,
46,680,Mississippi Springfest,"Ashland, MS",MS,5/4/2007,TRUE,,
47,681,Johnson County Fair BBQ,"Warrensburg, MO",MO,7/13/2007,TRUE,,
48,682,SC Festival of Discovery,"Greenwood, SC",SC,7/13/2007,TRUE,,
49,683,Crossroads BBQ Cookoff,"Cameron, MO",MO,6/29/2007,TRUE,,
50,684,BBQ on the River & Fly-In,"Excelsior Springs, MO",MO,8/17/2007,TRUE,,
51,686,Flint Hills Beef Fest Blues & BBQ,"Emporia, KS",KS,8/17/2007,TRUE,,
52,688,Up in Smoke BBQ Bash,"Mason City, IA",IA,7/27/2007,TRUE,,
53,696,Great Pork BarbeQlossal,"Des Moines, IA",IA,6/7/2007,FALSE,,
54,697,2nd Annual Oklahoma Joes BBQ Cookoff & 2007 World Brisket Open,"Kansas City, KS",KS,5/18/2007,TRUE,,
55,702,Pork in the Park BBQ,"Salisbury, MD",MD,4/20/2007,TRUE,,
56,703,Blue Ridge BBQ Festival,"Tryon, NC",NC,6/8/2007,TRUE,,
57,704,Princeton Rotary Burning Down the Fox,"Princeton, WI",WI,8/24/2007,TRUE,,
58,705,Smokin Behind the Barn,"Winfield, KS",KS,8/31/2007,TRUE,,
59,713,20th Annual Winchester High on the Hog,"Winchester, TN",TN,4/20/2007,TRUE,,
60,714,New Mexico Pork & Brew BBQ,"Rio Rancho, NM",NM,3/30/2007,TRUE,,
61,715,Lakeland Pig Festival,"Lakeland, FL",FL,1/25/2007,TRUE,,
62,717,Mitchell Co. BBQ Championship & Hog Wild Festival,"Mobile, AL",AL,3/8/2007,TRUE,,
63,718,The Greater Emporia BBQ Festival,"Emporia, KS",KS,8/10/2007,TRUE,,
64,719,16th Annual McLouth BBQ Blowout,"McLouth, KS",KS,6/1/2007,TRUE,,
65,720,Celebration Cookoff,"Lyons, KS",KS,5/4/2007,TRUE,,
66,721,BBQ'loo & Blues Too,"Waterloo, IA",IA,7/20/2007,TRUE,,
67,722,Silver Lake Sand Dunes BBQ,"Mears, MI",MI,9/14/2007,TRUE,,
68,724,Grilling on the River,"Columbus, MS",MS,4/13/2007,TRUE,,
69,725,Smithfield's Slammin BBQ Throw Down,"Norfolk, VA",VA,4/27/2007,TRUE,,
70,726,Boone County Fair & BBQ Contest,"Columbia, MO",MO,7/27/2007,TRUE,,
71,727,"Atchison Elks """"Smokin Good Time"""" BBQ","Atchison, KS",KS,9/14/2007,TRUE,,
72,728,Pigs in the Park,"Danville, VA",VA,5/18/2007,TRUE,,
73,729,Kingsford/MasterCut Modesto State BBQ Championship,"Modesto, CA",CA,5/4/2007,TRUE,,
74,730,Smoke in the Air State Champ.,"Park City, KS",KS,9/14/2007,TRUE,,
75,748,Beltway Barbeque Showdown,"Landover, MD",MD,5/18/2007,TRUE,,
76,749,Hammond Smokin' Blues & BBQ Challenge,"Hammond, LA",LA,3/30/2007,TRUE,,
77,750,Best Dam BBQ,"Boulder City, NV",NV,5/25/2007,TRUE,,
78,751,Big Blue Barbeque,"Marysville, KS",KS,6/1/2007,TRUE,,
79,752,Georgia Barbecue Classic,"Cartersville, GA",GA,6/1/2007,TRUE,,
80,753,Haleyville Rotary Club 9-1-1 Backyard BBQ Cookoff,"Haleyville, AL",AL,6/8/2007,TRUE,,
81,754,Rock 'n Ribfest,"Nashua, NH",NH,6/22/2007,TRUE,,
82,755,The Taste of Freedom Barbeque Cookoff,"Albertville, AL",AL,6/29/2007,TRUE,,
83,756,4th Annual Anthony Downs BBQ Cookoff,"Anthony, KS",KS,7/20/2007,TRUE,,
84,757,Wild West Barbecue,"Lamar, CO",CO,8/3/2007,TRUE,,
85,758,Great Pacific BBQ & Bluegrass Festival,"Pacific, MO",MO,8/17/2007,TRUE,,
86,760,"Madison Ribberfest BBQ, Blues & Balloons","Madison, IN",IN,8/17/2007,TRUE,,
87,763,The Big Pig Gig,"Menomonee Falls, WI",WI,9/28/2007,TRUE,,
88,764,4th Annual Downtown Blues & BBQ Festival,"Texarkana, AR",AR,10/12/2007,TRUE,,
89,767,Redneck BBQ,"Sikeston, MO",MO,4/13/2007,TRUE,,
90,768,Tiger Shrine Club Spring Fling,"Columbia, MO",MO,5/11/2007,TRUE,,
91,772,2nd Annual Crow River BBQ,"Watertown, MN",MN,7/20/2007,TRUE,,
92,773,Whistle Stop Festival & Rocket City BBQ,"Huntsville, AL",AL,5/3/2007,TRUE,,
93,774,That Barbeque Thang in the Spring,"Sallisaw, OK",OK,5/4/2007,TRUE,,
94,775,Malden in May BBQ,"Malden, MO",MO,5/11/2007,TRUE,,
95,776,Smokin' in Hell Creek,"Sylvan Grove, KS",KS,6/15/2007,TRUE,,
96,777,Iowa State BBQ Championship,"Marshalltown, IA",IA,6/22/2007,TRUE,,
97,778,8th Annual Central KS BBQ & Chest to Chest Brisket Invitational,"Great Bend, KS",KS,7/12/2007,TRUE,,
98,779,Taste of Grand Rapids & BBQ Competition,"Grand Rapids, MI",MI,7/13/2007,TRUE,,
99,780,Glasgow Tri County Jamboree's Smokin on the River,"Glasgow, MO",MO,7/20/2007,TRUE,,
100,781,The Harpoon Championship of New England,"Windsor, VT",VT,7/28/2007,TRUE,,
101,782,Lynch Livestock Pig Stampede,"Waucoma, IA",IA,8/3/2007,TRUE,,
102,783,BBQ at the Summit,"Dillon, CO",CO,8/10/2007,TRUE,,
103,784,Stokin the Fire BBQ Festival,"Birmingham, AL",AL,8/24/2007,FALSE,,
104,785,Ben Biken BBQ Bash,"Sparta, WI",WI,9/7/2007,TRUE,,
105,786,Zoo B Que 2,"Racine, WI",WI,9/21/2007,TRUE,,
106,787,Covington Lions Shermans Last Burning,"Covington, GA",GA,10/12/2007,TRUE,,
107,788,Brain Injury Assoc. 3rd Annual BBQ,"Columbia, MO",MO,10/12/2007,TRUE,,
108,789,Third Annual U.P. Hog Wild,"Iron Mountain, MI",MI,7/20/2007,TRUE,,
109,790,Cherokee Pignic,"Canton, GA",GA,10/19/2007,TRUE,,
110,796,Q for the Kids,"Fairbanks, IN",IN,6/1/2007,TRUE,,
111,797,Hy-Vee Barry Road Cookoff,"Kansas City, MO",MO,4/20/2007,TRUE,,
112,798,19th Annual Stillwater Elks Blazathon,"Stillwater, OK",OK,3/30/2007,TRUE,,
113,799,Grasshopper Festival BBQ,"Augusta, KS",KS,6/1/2007,TRUE,,
114,800,New Jersey State BBQ Championship,"North Wildwood, NJ",NJ,7/13/2007,TRUE,,
115,801,Harvard Fall Festival BBQ Cookoff,"Harvard, MA",MA,9/15/2007,FALSE,,
116,802,Capital City Cookoff,"Jefferson City, MO",MO,4/13/2007,TRUE,,
117,803,Amazin Blazin BBQ Cookoff,"Lebanon, TN",TN,8/17/2007,TRUE,,
118,804,2nd Annual Chesapeake Bay BBQ Cookoff,"Stevensville, MD",MD,7/27/2007,FALSE,,
119,805,Variety Childrens Charity BBQ Bash,"Memphis, TN",TN,6/8/2007,TRUE,,
120,806,"Bikes, Boogie & Barbeque","Gastonia, NC",NC,9/7/2007,TRUE,,
121,807,Oinktoberfest,"Clarence, NY",NY,9/28/2007,TRUE,,
122,808,New Holland Summer Fest,"New Holland, PA",PA,8/24/2007,TRUE,,
123,809,"Fiddlin', Brewin' & BarBQ'n","Nashville, TN",TN,9/28/2007,TRUE,,
124,810,Benton Kiwanis Barbecue Kookoff,"Benton, KY",KY,3/30/2007,TRUE,,
125,814,Lawrence Sertoma 48 BarBQ,"Lawrence, KS",KS,5/11/2007,TRUE,,
126,815,Sedalia Lions Blues & BBQ Fest,"Sedalia, MO",MO,6/15/2007,TRUE,,
127,816,10th Annual Art of Barbeque,"Tulsa, OK",OK,7/13/2007,TRUE,,
128,817,Leavenworth Charity BBQ Cookoff,"Leavenworth, KS",KS,9/7/2007,TRUE,,
129,818,Brew-B-Q,"Independence, IA",IA,9/21/2007,TRUE,,
130,819,Hermann BarBQ & Brats Festival,"Hermann, MO",MO,9/28/2007,TRUE,,
131,820,28th Annual American Royal BBQ,"Kansas City, MO",MO,10/5/2007,TRUE,,
132,821,Christmas on the River BarBQ,"Demopolis, AL",AL,11/30/2007,TRUE,,
133,823,16th Annual State Barbeque Championship of Nebraska,"La Platte, NE",NE,8/24/2007,TRUE,,
134,825,Southern Illinois Bluegrass & BBQ Festival,"Salem, IL",IL,9/7/2007,TRUE,,
135,826,City of Cookeville Cookoff,"Cookeville, TN",TN,9/7/2007,TRUE,,
136,828,Apple Blossom Barbecue,"St. Joseph, MO",MO,5/4/2007,TRUE,,
137,829,"Boats, Blues & Barbeque","Pueblo, CO",CO,6/8/2007,TRUE,,
138,830,Peculiar BBQ Roundup,"Peculiar, MO",MO,7/20/2007,TRUE,,
139,831,17th Annual Dodge City Days BBQ,"Dodge City, KS",KS,7/27/2007,TRUE,,
140,832,Maryland Barbeque Bash,"Bel Air, MD",MD,8/10/2007,TRUE,,
141,833,Cape BBQ Fest,"Cape Girardeau, MO",MO,8/24/2007,TRUE,,
142,834,Benton County Fair BBQ,"Ashland, MS",MS,9/7/2007,TRUE,,
143,835,Blue Springs BBQ Blazeoff,"Blue Springs, MO",MO,9/7/2007,TRUE,,
144,836,Carbondale Main Street Pig Out,"Carbondale, IL",IL,9/14/2007,TRUE,,
145,838,Grillin' & Chillin' BBQ,"Owensboro, KY",KY,9/28/2007,TRUE,,
146,843,Barbeque on the Farm (formerly BBQ on the River),"Yardley, PA",PA,5/18/2007,TRUE,,
147,844,Tonganoxie Days BBQ,"Tonganoxie, KS",KS,6/8/2007,TRUE,,
148,845,Dillard Bluegrass & Barbeque Festival,"Dillard, GA",GA,8/3/2007,TRUE,,
149,846,Uniquely Union Festival,"Union, SC",SC,9/14/2007,TRUE,,
150,850,Cookin' on the Kaw (formerly DeSoto Kill Creek BBQ),"DeSoto, KS",KS,10/12/2007,TRUE,,
151,859,Thriftway Classic,"Aloha, OR",OR,6/9/2007,TRUE,,
152,861,Chinook Winds Casino Smokin at the Ocean,"Lincoln City, OR",OR,7/13/2007,TRUE,,
153,862,Western Regional BBQ Championships,"Albany, OR",OR,8/17/2007,TRUE,,
154,863,Cherokee Strip BarBQue & Chili Cookoff,"Ponca City, OK",OK,9/21/2007,TRUE,,
155,868,Bordertown Bash,"Fort Smith, AR",AR,5/11/2007,TRUE,,
156,869,SpringFest 2007,"Cocoa, FL",FL,5/3/2007,FALSE,,
157,870,BBQ in the Bluffs,"Council Bluffs, IA",IA,5/11/2007,TRUE,,
158,872,Grand River BBQ & Fly In,"Chillicothe, MO",MO,8/24/2007,TRUE,,
159,873,Colorado Pork and Hops Challenge,"Grand Junction, CO",CO,9/21/2007,TRUE,,
160,875,Oregon State Fair BBQ,"Salem, OR",OR,8/24/2007,TRUE,,
161,877,"Go Ahead, Make My BBQ Contest","Trenton, MO",MO,6/15/2007,TRUE,,
162,878,South Dakota BBQ,"Huron, SD",SD,6/1/2007,TRUE,,
163,879,"Red, White, & Bar-B-Q","Westmont, IL",IL,5/26/2007,TRUE,,
164,880,Washington State Spring BBQ,"Lynnwood, WA",WA,4/28/2007,TRUE,,
165,882,B-Town BBQ Cookoff,"Baldwyn, MS",MS,6/1/2007,FALSE,,
166,883,Bates County Great American BBQ State Championship,"Butler, MO",MO,9/7/2007,TRUE,,
167,884,Little Blue BBQ,"Fairbury, NE",NE,9/7/2007,TRUE,,
168,885,Shawnee Great Grillers,"Shawnee, KS",KS,9/21/2007,TRUE,,
169,886,Minnesota in May,"Austin, MN",MN,5/18/2007,TRUE,,
170,888,Barbeque on the Bluff,"Aberdeen, MS",MS,10/12/2007,TRUE,,
171,890,Paola Roots Festival,"Paola, KS",KS,8/24/2007,TRUE,,
172,892,Smokin on the Square,"Gallatin, TN",TN,10/5/2007,TRUE,,
173,893,Central Illinois Bragging Rights,"Arthur, IL",IL,10/12/2007,TRUE,,
174,894,Hog Happnin',"Shelby, NC",NC,11/2/2007,TRUE,,
175,895,Kansas City Hog Wild in Corinth MS,"Corinth, MS",MS,10/4/2007,TRUE,,
176,896,Fort Scott Barbeque Championship,"Fort Scott, KS",KS,6/1/2007,TRUE,,
177,903,Diamond State BBQ,"Dover, DE",DE,10/19/2007,TRUE,,
178,904,Smokin in the Valley,"Maggie Valley, NC",NC,9/28/2007,TRUE,,
179,905,13th Annual Riverfest,"Decatur, AL",AL,9/21/2007,TRUE,,
180,907,Master Cut Red Hot & Real BBQ,"Clovis, CA",CA,9/28/2007,TRUE,,
181,908,Arrowhead Ducks Unlimited,"Ankeny, IA",IA,7/13/2007,TRUE,,
182,909,L-P-QUE BBQ,"Mt. Pleasant, IA",IA,6/15/2007,FALSE,,
183,914,Cape Cod Rib & Brisket Festival,"Sandwich, MA",MA,6/15/2007,FALSE,,
184,919,Squealin on the Square,"Laurens, SC",SC,10/5/2007,TRUE,,
185,920,Rib'n & Brews Festival,"Lowell, MA",MA,9/8/2007,TRUE,,
186,921,Remington Park BBQ,"Oklahoma City, OK",OK,6/1/2007,FALSE,,
187,922,Plant City Pig Jam,"Plant City, FL",FL,11/16/2007,TRUE,,
188,923,Riverwalk Crossings Rock'n BBQ on the Water,"Jenks, OK",OK,10/12/2007,TRUE,,
189,924,When Pigs Fly,"McPherson, KS",KS,8/24/2007,TRUE,,
190,934,Rubbin'-N-Racin',"Lakeville, CT",CT,5/26/2007,TRUE,,
191,935,BluesAQue,"East Hartford, CT",CT,6/23/2007,TRUE,,
192,936,Great State of Maine Grilling & BBQ Festival,"York, ME",ME,8/4/2007,TRUE,,
193,938,Bridgeton King Pig BBQ,"Bridgeton, NJ",NJ,9/14/2007,TRUE,,
194,939,Smoke in the Hollow BBQ Battle,"Springville, AL",AL,7/13/2007,TRUE,,
195,940,Battle of the Brisket,"Mission, KS",KS,9/14/2007,TRUE,,
196,941,Pigs & Peaches BBQ Contest,"Kennesaw, GA",GA,8/10/2007,TRUE,,
197,942,Taylor Sweet Corn & BBQ Festival,"Taylor, AZ",AZ,8/31/2007,TRUE,,
198,943,Smokin on the River,"Clinton, IA",IA,7/6/2007,TRUE,,
199,944,Gator Hammock Wild Pig 'n Pepper Jam,"Felda, FL",FL,12/31/2007,TRUE,,
200,945,Cass County Heritage Festival,"Belton, MO",MO,5/4/2007,TRUE,,
201,946,Overmountain Music Jamboree & BBQ Cookoff,"Morganton, NC",NC,10/5/2007,TRUE,,
202,947,Jesse James Barbeque Cookout,"Kearney, MO",MO,9/14/2007,TRUE,,
203,948,Go for the Gold BBQ Championship,"Victorville, CA",CA,6/8/2007,TRUE,,
204,949,Angel's Choice,"Angel Fire, NM",NM,5/25/2007,TRUE,,
205,950,Roots 'n Blues,"Columbia, MO",MO,9/7/2007,TRUE,,
206,957,"Ribs, Rides, Rythm & More","Booneville, AR",AR,6/15/2007,FALSE,,
207,958,3rd Annual Wyoming State Championship and Bluegrass Festival,"Worland, WY",WY,8/17/2007,TRUE,,
208,960,Barn Burner Bar-B-Q,"Libertyville, IL",IL,10/19/2007,TRUE,,
209,963,West Coast BBQ Championships,"Fairfield, CA",CA,8/17/2007,TRUE,,
210,964,Missouri State Fair Show-Me the Que,"Sedalia, MO",MO,8/17/2007,TRUE,,
211,965,"Shake, Rattle and Smoke!","San Jose, CA",CA,6/30/2007,TRUE,,
212,966,Pigs Can Fly BBQ Cookoff,"Ada, OK",OK,6/15/2007,TRUE,,
213,967,Smoke on the Alleghney,"Franklin, PA",PA,7/27/2007,TRUE,,
214,968,Hamilton Township BBQ Cookoff,"Hamilton, NJ",NJ,9/8/2007,FALSE,,
215,973,Gary Silvey's Backyard BBQ Cookoff,"Clarksville, TN",TN,7/13/2007,TRUE,,
216,975,Rock & Ribs,"Salt Lake City, UT",UT,8/24/2007,TRUE,,
217,976,Southern National BBQ Championship at Boone Hall Plantation,"Mount Pleasant, SC",SC,8/24/2007,TRUE,,
218,977,19th Annual Jack Daniels World Championship INVITATIONAL,"Lynchburg, TN",TN,10/26/2007,FALSE,,
219,978,4th Annual Cape Cod BBQ,"Mashpee, MA",MA,10/27/2007,FALSE,,
220,979,River City Roundup,"Omaha, NE",NE,9/28/2007,TRUE,,
221,983,Hogstock III,"Warren, NH",NH,8/24/2007,TRUE,,
222,984,Cass County Square Off,"Harrisonville, MO",MO,8/24/2007,FALSE,,
223,985,Smokin' in the Root,"Stevensville, MT",MT,8/3/2007,FALSE,,
224,987,Kurzweil's Fall Fling,"Garden City, MO",MO,9/28/2007,TRUE,,
225,991,2nd Annual Jim Dandy's BBQ Cookoff,"Sharonville, OH",OH,9/15/2007,TRUE,,
226,992,Garnett Autumn Blaze Smokeoff,"Garnett, KS",KS,10/19/2007,TRUE,,
227,994,4th Annual South Central Kansas Masters BBQ Championship,"Wichita, KS",KS,6/8/2007,TRUE,,
228,995,1st Annual Throwdown on the River BBQ Competition,"Dubuque, IA",IA,9/1/2007,TRUE,,
229,1001,Battle of the BBQ Brethren,"Sayville, NY",NY,10/20/2007,TRUE,,
230,1002,Kudzu Babeque Festival,"Holly Springs, MS",MS,10/26/2007,TRUE,,
231,1008,3rd Annual Smokin in the Park,"Alpine, CA",CA,10/19/2007,TRUE,,
232,1009,The Fountains Blaze Off and Senior Q,"Independence, MO",MO,10/19/2007,TRUE,,
233,1021,AG Bowl Smokefest,"Marshall, MN",MN,10/5/2007,TRUE,,
234,1022,2nd Annual Belton Heritage BBQ Contest,"Belton, MO",MO,5/2/2008,TRUE,4700,
235,1023,"Brew, Blues & BarBQ","Lansing, KS",KS,5/2/2008,TRUE,4000,41
236,1024,South Dakota State Championship,"Huron, SD",SD,6/6/2008,TRUE,7000,100
237,1025,Rock'n Ribs BBQ Festival,"Springfield, MO",MO,4/18/2008,TRUE,,95
238,1026,3rd Annual Barry Road Hy-Vee BBQ,"Kansas City, MO",MO,4/25/2008,TRUE,2800,33
239,1027,New Mexico Pork & Brew State Championship,"Rio Rancho, NM",NM,3/28/2008,TRUE,10200,100
240,1028,Colorado BBQ Challenge,"Frisco, CO",CO,6/13/2008,TRUE,,98
241,1029,Platte City/Basswood Resort BBQ,"Platte City, MO",MO,5/9/2008,TRUE,,32
242,1030,Great Pork BarbeQlossal,"Des Moines, IA",IA,6/5/2008,FALSE,37000,98
243,1031,"Iowa State Barbeque Championship *****Due to flooding, the contest has moved to the Iowa International Speedway*****","Marshalltown, IA",IA,6/27/2008,TRUE,16000,94
244,1034,Raytown State BBQ Championship Cookoff,"Raytown, MO",MO,6/13/2008,TRUE,6000,85
245,1035,Blue Ridge BBQ Festival,"Tryon, NC",NC,6/13/2008,TRUE,25800,100
246,1036,Elk Grove Rotary Ribfest,"Elk Grove, IL",IL,6/13/2008,TRUE,11900,89
247,1037,State Center BBQ Championship,"State Center, IA",IA,6/20/2008,TRUE,,100
248,1038,Redneck BBQ,"Sikeston, MO",MO,4/11/2008,TRUE,3600,100
249,1039,Apple Blossom BBQ,"St. Joseph, MO",MO,5/2/2008,TRUE,10000,77
250,1040,Sucarnochee BBQ & Blues,"Livingston, AL",AL,4/18/2008,TRUE,,100
251,1041,Q For the Kids,"Fairbanks, IN",IN,6/6/2008,TRUE,5000,85
252,1042,Bloomin' Barbeque & Bluegrass,"Sevierville, TN",TN,5/16/2008,TRUE,20000,100
253,1043,Benton Kentucky Kiwanis BBQ Kookoff,"Benton, KY",KY,4/4/2008,TRUE,3800,100
254,1044,Malden in May,"Malden, MO",MO,5/9/2008,TRUE,5000,100
255,1046,Beltway BBQ Showdown,"Landover, MD",MD,6/6/2008,TRUE,4000,100
256,1047,"Fort Lauderdale Marine Flea Market featuring """"KCBS BBQ Competition""""","Fort Lauderdale, FL",FL,12/1/2007,TRUE,,
257,1050,North Georgia Mountains Horsin' Around BBQ Showdown,"Young Harris, GA",GA,5/24/2008,TRUE,6500,100
258,1051,SC Festival of Discovery,"Greenwood, SC",SC,7/11/2008,TRUE,20000,100
259,1052,"RiverFest 2008, Red, White & Que","Bellevue, NE",NE,7/18/2008,TRUE,,81
260,1053,Wild Blue Barbeque,"Burlington, KS",KS,7/18/2008,TRUE,,88
261,1054,3rd Annual Crow River BBQ Challenge,"Watertown, MN",MN,7/18/2008,TRUE,,
262,1055,Laurie Hillbilly BBQ,"Laurie, MO",MO,8/1/2008,TRUE,5375,71
263,1056,Cass County BBQ Square Off,"Harrisonville, MO",MO,8/22/2008,TRUE,,50
264,1057,Grilling on the River,"Columbus, MS",MS,4/11/2008,TRUE,10000,100
265,1058,Capital City Cookoff,"Jefferson City, MO",MO,4/11/2008,TRUE,20000,
266,1059,Smoke in the Spring,"Osage City, KS",KS,4/11/2008,TRUE,10000,94
267,1060,Celebration Cook-Off,"Lyons, KS",KS,5/2/2008,TRUE,3850,28
268,1061,Mississippi Springfest,"Ashland, MS",MS,5/9/2008,TRUE,6500,100
269,1062,Illinois State BBQ Championship,"Shannon, IL",IL,7/11/2008,TRUE,,53
270,1063,10th Anniversary Sertoma 48 BBQ,"Lawrence, KS",KS,5/9/2008,TRUE,4800,70
271,1064,North Star BBQ & Blues Fest,"DeForest, WI",WI,6/6/2008,TRUE,4500,87
272,1065,Porkin' in the Park,"Clarksville, TN",TN,4/4/2008,FALSE,10000,85
273,1066,Loveland Loves Barbecue,"Loveland, CO",CO,7/11/2008,TRUE,,28
274,1067,Publix Prestigious Palmetto Pig Pick'n,"Charleston, SC",SC,3/7/2008,TRUE,18550,100
275,1068,Pickin in the Panhandle,"Hedgesville, WV",WV,9/5/2008,TRUE,,100
276,1069,Flint Hills Beef Fest Blues & BBQ,"Emporia, KS",KS,8/15/2008,TRUE,,93
277,1070,Florence Labor Day Cookoff,"Florence, KS",KS,8/31/2008,TRUE,,50
278,1071,9th Annual New Holland Summerfest,"New Holland, PA",PA,8/22/2008,TRUE,15120,100
279,1072,Smok'n in the Ozarks,"Mountain Grove, MO",MO,6/20/2008,TRUE,10000,38
280,1073,Smokin' on Big Creek/4th Annual Brain Injury Assn. BBQ,"Pleasant Hill, MO",MO,4/4/2008,TRUE,6825,100
281,1076,Southwestern International BBQ Cookoff,"Chandler, AZ",AZ,11/9/2007,TRUE,,
282,1094,BBQ'Loo & Blues Too,"Waterloo, IA",IA,7/18/2008,TRUE,10000,100
283,1095,Big Blue Barbeque Championship,"Marysville, KS",KS,6/6/2008,TRUE,5250,34
284,1096,NKC Missouri State BBQ Championship,"North Kansas City, MO",MO,3/14/2008,TRUE,7700,50
285,1097,17th Annual McLouth BBQ Blowout,"McLouth, KS",KS,6/6/2008,TRUE,3150,28
286,1098,Shawnee Great Grillers,"Shawnee, KS",KS,9/26/2008,TRUE,,65
287,1101,Boss Hog,"Waynesboro, GA",GA,5/9/2008,TRUE,10000,100
288,1102,Dickson Fiddlers Contest & Family Fun Festival,"Dickson, TN",TN,6/27/2008,TRUE,12000,
289,1104,That Barbeque Thang in the Sprang,"Sallisaw, OK",OK,6/6/2008,TRUE,5500,40
290,1105,Boots & BBQ,"Claremore, OK",OK,5/16/2008,TRUE,12000,82
291,1106,Smokin' Red Dirt & BBQ Cookoff,"Enid, OK",OK,4/11/2008,TRUE,9000,
292,1107,Pigs in the Park,"Danville, VA",VA,5/16/2008,TRUE,11505,
293,1108,Up in Smoke BBQ Bash,"Mason City, IA",IA,7/25/2008,TRUE,12125,85
294,1109,Pigs Can Fly BBQ Cookoff,"Ada, OK",OK,6/13/2008,TRUE,3400,
295,1110,Glasgow Tri-County Jamboree--Smokin on the River,"Glasgow, MO",MO,7/18/2008,TRUE,,86
